Time,Exp Distance,Measured Time Diff,Temperature,Derived k_B,Derived k_B Error
1.5564842629999998,2.0,0.005652,296.66999999999996,1.3734498735329326,0.009408762691285965
2.0683681050000002,2.0,0.005647,296.67999999999995,1.3758392986977068,0.009425254300447062
2.5764446029999997,2.0,0.005653,296.67999999999995,1.37291721113035,0.00940499562321223
3.0840266320000005,2.0,0.005647999999999999,296.65,1.3754907256350004,0.009423060575584348
3.592017083,2.0,0.005654,296.65999999999997,1.3725236262777067,0.009402415297611303
4.100234697,2.0,0.005672,296.66999999999996,1.3637709998193825,0.009341664100474016
4.60793353,2.0,0.005625,296.65999999999997,1.386727221580375,0.00950089626292255
5.115953998999999,2.0,0.005654,296.65,1.3725698937183366,0.00940281023397837
5.667189550000001,2.0,0.005647,296.65999999999997,1.3759320539932436,0.00942604605779142
6.16980679,2.0,0.005631,296.65,1.3838171795740117,0.009480792702804428
6.6711617940000005,2.0,0.005647,296.65999999999997,1.3759320539932436,0.00942604605779142
7.1722305660000005,2.0,0.005632,296.65999999999997,1.383278670071075,0.009476983983046134
7.676406115,2.0,0.005647999999999999,296.65999999999997,1.37544435973715,0.009422664790663293
8.178178751,2.0,0.005647,296.65,1.3759784363311498,0.009426441984403693
8.682286151,2.0,0.005654,296.65,1.3725698937183366,0.00940281023397837
9.186967228,2.0,0.005625,296.65999999999997,1.386727221580375,0.00950089626292255
9.694912674000001,2.0,0.005653,296.66999999999996,1.3729634887186175,0.009405390637033533
10.202793547999999,2.0,0.005647,296.65999999999997,1.3759320539932436,0.00942604605779142
10.71069081,2.0,0.005651,296.65999999999997,1.37398283008942,0.009412531885566957
11.222623077000002,2.0,0.00563,296.66999999999996,1.3842159980370947,0.009483408538804552
11.73054171,2.0,0.005672,296.65999999999997,1.3638169706614176,0.009342056475792636
12.238580694,2.0,0.005654,296.66999999999996,1.3724773619561954,0.009402020393125739
12.746669820999998,2.0,0.005647999999999999,296.66999999999996,1.3753979969650554,0.009422269037692133
13.254585944999999,2.0,0.00563,296.65999999999997,1.38426265805186,0.009483806853686133
13.762424125999999,2.0,0.005647,296.65,1.3759784363311498,0.009426441984403693
14.274390079,2.0,0.005653,296.65999999999997,1.3730097694267926,0.009405785682743969
14.782260496,2.0,0.005647,296.65999999999997,1.3759320539932436,0.00942604605779142
15.290147826999998,2.0,0.005646,296.65999999999997,1.376420007408447,0.009429429143137429
15.798340399,2.0,0.005652,296.65999999999997,1.3734961706364694,0.009409157878296957
16.305948324,2.0,0.005624,296.65999999999997,1.3872209232502186,0.009504319680970978
16.817795885,2.0,0.005652,296.65999999999997,1.3734961706364694,0.009409157878296957
17.326230374999998,2.0,0.005647,296.65999999999997,1.3759320539932436,0.00942604605779142
17.833745072,2.0,0.005654,296.65,1.3725698937183366,0.00940281023397837
18.341690158,2.0,0.00563,296.65999999999997,1.38426265805186,0.009483806853686133
18.849561144,2.0,0.005646,296.64,1.376512808110133,0.009430221311872952
19.427133308,2.0,0.005654,296.65,1.3725698937183366,0.00940281023397837
19.948963311,2.0,0.005646,296.65,1.376466406195145,0.009429825211516932
20.465087456,2.0,0.005652,296.64,1.3735887742078448,0.009409948348035543
20.967359229,2.0,0.005646,296.64,1.376512808110133,0.009430221311872952
21.470571802,2.0,0.005652,296.64,1.3735887742078448,0.009409948348035543
21.97210716,2.0,0.005652,296.64,1.3735887742078448,0.009409948348035543
22.477995445999998,2.0,0.005671,296.64,1.3643904832230551,0.009346179619227858
22.98251089,2.0,0.005652,296.65,1.373542470861335,0.00940955309721223
23.484478328999998,2.0,0.005645,296.65,1.3769546354106474,0.009433210258227798
23.986342666,2.0,0.005652,296.65,1.373542470861335,0.00940955309721223
24.488461606999998,2.0,0.005647,296.64,1.3760248217962368,0.009426837942981051
24.993765413,2.0,0.005653,296.64,1.373102340204127,0.009406575869847264
25.495357367,2.0,0.005654,296.65,1.3725698937183366,0.00940281023397837
26.000648211999998,2.0,0.005647,296.64,1.3760248217962368,0.009426837942981051
26.506529983,2.0,0.005652,296.64,1.3735887742078448,0.009409948348035543
27.01264106,2.0,0.005646,296.64,1.376512808110133,0.009430221311872952
27.514864191,2.0,0.005651,296.64,1.3740754664722468,0.009413322638092324
28.017287269,2.0,0.005646,296.65999999999997,1.376420007408447,0.009429429143137429
28.522802784,2.0,0.0056289999999999995,296.65,1.384801725163152,0.00948761953926079
29.025206731,2.0,0.00563,296.63,1.3844026569722037,0.009485001991284428
29.531733264,2.0,0.0056229999999999995,296.63,1.3878552364101304,0.009508943094642725
30.03956113,2.0,0.0056289999999999995,296.63,1.3848950941228095,0.009488416615991445
30.547630486,2.0,0.0056229999999999995,296.64,1.387808450567479,0.009508543680024763
31.055481277000002,2.0,0.00565,296.64,1.374562417180188,0.009416698741315564
31.563331688999998,2.0,0.005646,296.64,1.376512808110133,0.009430221311872952
32.071241509000004,2.0,0.005644,296.65,1.377443124161478,0.009436597125841165
32.583003484,2.0,0.005627999999999999,296.65999999999997,1.3852476952467265,0.009490637086487489
33.091261607,2.0,0.005621999999999999,296.64,1.3883027125958123,0.009511971083632052
33.599029028000004,2.0,0.005651,296.65,1.3740291467194583,0.009412927245869923
34.106923099,2.0,0.005621999999999999,296.65,1.388255913245986,0.009511571557639301
34.614648495000004,2.0,0.0056229999999999995,296.65,1.3877616678791067,0.00950814429765164
35.12676254,2.0,0.0056289999999999995,296.64,1.3848484080692052,0.009488018061538364
35.678872309000006,2.0,0.005647,296.64,1.3760248217962368,0.009426837942981051
36.1803414,2.0,0.005653,296.64,1.373102340204127,0.009406575869847264
