Time,Exp Distance,Measured Time Diff,Temperature,Derived k_B,Derived k_B Error,Pressure
3.8627635319999998,0.75,0.002107,297.025,1.4120338685674516,0.016709431481548263,101374
5.292926784,0.75,0.002082,296.9625,1.4464523399176867,0.017199286291038725,101374
6.5723750050000005,0.75,0.002082,297.025,1.4461478787095035,0.017195537955622963,101372
7.95973194,0.75,0.002082,296.9625,1.446452241187659,0.017199285117072624,101372
9.341300939,0.75,0.0020829999999999998,297.025,1.4447597865003687,0.017175701341967466,101374
10.712613842,0.75,0.0020829999999999998,296.9625,1.4450638568346912,0.01717944420554675,101374
12.096416665,0.75,0.002081,297.025,1.4475381700542478,0.01721541033267676,101374
13.471468413,0.75,0.0020829999999999998,297.025,1.444759687885869,0.0171757001696112,101372
14.852764822999998,0.75,0.000424,297.025,34.869236701127036,1.06952360550887,101372
16.284143937,0.75,0.002082,297.025,1.4461477799963591,0.01719553678186636,101370
17.667936504,0.75,0.002107,296.9625,1.4123307620504204,0.016713069890300688,101368
18.994222233,0.75,0.0020829999999999998,297.025,1.4447594906452068,0.017175697824760007,101368
20.374285147,0.75,0.002108,296.9625,1.410991107625258,0.016694040054313044,101368
21.753070855999997,0.75,0.0020829999999999998,296.9625,1.4450635609172624,0.017179440687572833,101368
23.136945228,0.75,0.0020829999999999998,297.025,1.444759392019043,0.01717569665226507,101366
24.516900839999998,0.75,0.0020829999999999998,297.025,1.444759392019043,0.01717569665226507,101366
25.96456328,0.75,0.002082,297.025,1.446147582558395,0.01719553443421433,101366
27.279577598,0.75,0.0020829999999999998,297.025,1.444759392019043,0.01717569665226507,101366
28.654645878,0.75,0.002108,297.025,1.4106939179652667,0.016690398928490006,101362
30.033396780999997,0.75,0.0020829999999999998,297.025,1.4447590961172192,0.017175693134502876,101360
31.413437937999998,0.75,0.002108,297.025,1.4106943031756727,0.01669040348604517,101370
32.798542861,0.75,0.0020829999999999998,297.025,1.4447580601851424,0.01717568081905769,101339
34.173453741,0.75,0.0020829999999999998,296.9625,1.4450627222944428,0.01717943071772003,101351
35.573710228,0.75,0.002108,297.025,1.4106938216531721,0.0166903977889889,101360
36.933727528000006,0.75,0.0020829999999999998,297.025,1.444759392019043,0.01717569665226507,101366
38.317144249,0.75,0.0020829999999999998,297.025,1.444759687885869,0.0171757001696112,101372
39.695060737000006,0.75,0.0020829999999999998,297.025,1.444759687885869,0.0171757001696112,101372
41.078917874000005,0.75,0.0020829999999999998,297.025,1.4447598851109804,0.017175702514277517,101376
42.451462420000006,0.75,0.0020829999999999998,297.025,1.4447601809194914,0.01717570603093038,101382
43.889071014,0.75,0.00208,297.025,1.448930763814916,0.017235319730770214,101382
45.290609162,0.75,0.001973,296.9625,1.6107004490909416,0.019579705190478417,101602
46.595417097,0.75,0.0016749999999999998,297.025,2.234350894213118,0.029175385174546074,101836
47.973987785000006,0.75,0.001864,297.025,1.8042302321117598,0.022466840531016302,102025
49.354101619000005,0.75,0.00197,297.025,1.6152976538667114,0.019647913361473857,102110
50.740475206,0.75,0.001694,297.025,2.184531097926099,0.02837857586696444,102112
52.114388646,0.75,0.001705,297.025,2.1564283569048928,0.02793137399602841,102027
53.503168262,0.75,0.0020829999999999998,297.025,1.444786709966505,0.017176021415531092,101923
54.874453838,0.75,0.002056,297.025,1.4829754367887222,0.017723513838333496,101780
56.287998536,0.75,0.0020629999999999997,297.0875,1.4726147828347345,0.01757525669322635,101699
57.630820233,0.75,0.0017419999999999998,297.025,2.065768651181709,0.02649975212935005,101631
59.015602431000005,0.75,0.000227,297.025,121.65369640999813,6.221415058370187,101566
60.393494282000006,0.75,0.002084,296.9625,1.4436845059069918,0.01715972026336294,101519
61.828477858999996,0.75,0.002084,297.025,1.4433782195152889,0.017155951882427144,101468
63.164992438000006,0.75,0.002084,297.025,1.4433767932411048,0.017155934929773336,101439
64.53496833,0.75,0.002084,296.9625,1.4436797850803174,0.017159664151335127,101423
65.91370524499999,0.75,0.002084,297.025,1.443375612259932,0.01715592089266518,101415
67.29464706899999,0.75,0.002084,297.025,1.4433694029348485,0.017155847088806346,101289
68.67881362499999,0.75,0.0020829999999999998,297.025,1.4447524290603386,0.017175613874698667,101225
70.054051366,0.75,0.002084,297.025,1.4433654524887878,0.01715580013391842,101209
71.43767977499999,0.75,0.002081,297.025,1.4475313434177492,0.01721532914424875,101236
72.812752089,0.75,0.0019879999999999997,297.025,1.5861335913536854,0.019220271589523066,101262
74.29117746499999,0.75,0.002105,297.025,1.4147143323811318,0.01674753042787389,101291
75.57532313899999,0.75,0.002081,297.025,1.4475352536936277,0.017215375648724524,101315
76.955434399,0.75,0.002081,297.0875,1.447232111573694,0.0172116422832314,101343
78.325096167,0.75,0.002082,297.025,1.4461470888953631,0.017195528564274244,101356
79.73425338899999,0.75,0.002107,297.025,1.4120333866257768,0.01670942577844753,101364
81.09933855599999,0.75,0.002107,297.025,1.4120338685674516,0.016709431481548263,101374
82.479399823,0.75,0.002082,297.025,1.4461486682745788,0.017195547344010156,101388
