Time,Exp Distance,Measured Time Diff,Temperature,Derived k_B,Derived k_B Error,Pressure,HC-SRO4 Raw
5.9814328450000005,0.5820000000000001,0.001629,298.275,1.4183581160963772,0.021486532739586058,101770.9,0.001574
7.045035512,0.5820000000000001,0.001627,298.2125,1.4221446630357462,0.021554751198175393,101771.2,0.001572
8.065504832,0.5820000000000001,0.00166,298.2125,1.3661635848469578,0.020539348518461505,101771,0.001605
9.070449413,0.5820000000000001,0.0016569999999999998,298.2125,1.3711149375856857,0.020628743015002587,101770.8,0.001602
10.073555529,0.5820000000000001,0.001627,298.2125,1.4221446508387858,0.02155475101331203,101770.8,0.001572
11.076006879,0.5820000000000001,0.001627,298.275,1.421847279910289,0.02155011902544352,101769.9,0.001572
12.139981292,0.5820000000000001,0.001633,298.2125,1.4117132534348549,0.021364767006210296,101769,0.001578
13.143787906999998,0.5820000000000001,0.0016339999999999998,298.2125,1.4099858288652938,0.02133334012010444,101768,0.0015789999999999999
14.148773476,0.5820000000000001,0.001627,298.2125,1.4221445105668629,0.02155474888727909,101766.2,0.001572
15.154527023999998,0.5820000000000001,0.0016279999999999999,298.2125,1.4203979135794202,0.02152291406139329,101765.3,0.001573
16.156383033,0.5820000000000001,0.0016339999999999998,298.2125,1.409985720020905,0.021333338473269188,101764.4,0.0015789999999999999
17.162868749,0.5820000000000001,0.001633,298.2125,1.411713071804582,0.02136476425743079,101763,0.001578
18.172925846000002,0.5820000000000001,0.001633,298.2125,1.4117130475855952,0.02136476389090238,101762.2,0.001578
19.284830727000003,0.5820000000000001,0.001627,298.2125,1.4221443611328284,0.021554746622380504,101761.3,0.001572
20.285986268000002,0.5820000000000001,0.0016279999999999999,298.2125,1.420397767372397,0.021522911845956925,101760.5,0.001573
21.287144025,0.5820000000000001,0.0016339999999999998,298.2125,1.4099855597637698,0.021333336048549804,101759.1,0.0015789999999999999
22.291662003000003,0.5820000000000001,0.001633,298.2125,1.4117129204296686,0.021364761966533717,101758,0.001578
23.293970654000002,0.5820000000000001,0.001627,298.2125,1.4221442513353928,0.021554744958234468,101757.7,0.001572
24.294789992000002,0.5820000000000001,0.001627,298.2125,1.4221442238848205,0.021554744542179566,101756.8,0.001572
25.295567666,0.5820000000000001,0.001633,298.15,1.4120081244617815,0.021369353633096916,101755.3,0.001578
26.304967706000003,0.5820000000000001,0.0016339999999999998,298.2125,1.4099854236832936,0.021333333989627633,101754.6,0.0015789999999999999
27.308760156,0.5820000000000001,0.001627,298.2125,1.4221441476306844,0.021554743386432915,101754.3,0.001572
28.310374163,0.5820000000000001,0.001627,298.2125,1.4221441140776785,0.02155474287788641,101753.2,0.001572
29.316487952000003,0.5820000000000001,0.0016279999999999999,298.2125,1.4203975236633886,0.02152290815309875,101752.5,0.001573
30.319309598000004,0.5820000000000001,0.001633,298.2125,1.411712741788147,0.02136475926298576,101752.1,0.001578
31.325010503999998,0.5820000000000001,0.001627,298.15,1.4224415237573804,0.021559375557659934,101751.3,0.001572
32.326185766,0.5820000000000001,0.001629,298.15,1.4189508560507496,0.021495761391999914,101750.8,0.001574
