Time,Temp BME680,Temp MCP9808,Temp BMP280,Pressure BME680,Pressure BMP280,Humidity BME680
2019-05-21 15:50:50.200275,22.24,20.9375,21.57,100846,100891.2,38.645
2019-05-21 15:50:51.609143,22.24,20.9375,21.57,100844,100890.6,38.716
2019-05-21 15:50:53.013897,22.26,20.9375,21.57,100846,100890.3,38.727
2019-05-21 15:50:54.543237,22.28,20.9375,21.57,100846,100889.8,38.742
2019-05-21 15:50:55.827841,22.29,20.875,21.58,100844,100889.9,38.726
2019-05-21 15:50:57.232710,22.3,20.9375,21.58,100846,100889.9,38.718
2019-05-21 15:50:58.637579,22.31,20.875,21.58,100844,100890.4,38.712
2019-05-21 15:51:00.046209,22.32,20.9375,21.58,100846,100890.4,38.697
2019-05-21 15:51:01.451319,22.32,20.9375,21.58,100846,100890.7,38.672
2019-05-21 15:51:02.860322,22.33,20.9375,21.58,100846,100891.2,38.655
2019-05-21 15:51:04.271457,22.33,20.875,21.58,100846,100892.1,38.661
2019-05-21 15:51:05.670097,22.33,20.9375,21.58,100848,100892,38.637
2019-05-21 15:51:07.074769,22.34,20.875,21.58,100848,100891.3,38.633
2019-05-21 15:51:08.479723,22.34,20.9375,21.58,100846,100891,38.639
2019-05-21 15:51:09.884691,22.34,20.9375,21.58,100844,100890.5,38.628
2019-05-21 15:51:11.393122,22.34,20.875,21.58,100844,100890.6,38.628
2019-05-21 15:51:12.698384,22.36,21.125,21.6,100846,100890.3,38.698
2019-05-21 15:51:14.103251,22.39,21.1875,21.65,100844,100891.2,40.399
2019-05-21 15:51:15.500029,22.4,21,21.67,100846,100892,42.835
2019-05-21 15:51:16.908921,22.41,21.0625,21.68,100846,100892.1,44.066
2019-05-21 15:51:18.390217,22.42,21.0625,21.69,100848,100892,44.586
2019-05-21 15:51:19.718651,22.42,21.0625,21.7,100848,100892.4,44.536
2019-05-21 15:51:21.127460,22.42,21.0625,21.71,100846,100892.6,44.201
2019-05-21 15:51:22.532513,22.43,21.0625,21.72,100846,100892.5,43.852
2019-05-21 15:51:23.937267,22.43,21.0625,21.73,100848,100892.7,43.53
2019-05-21 15:51:25.395709,22.44,21.0625,21.73,100850,100893.6,43.239
2019-05-21 15:51:26.751006,22.44,21.0625,21.74,100852,100894,42.965
2019-05-21 15:51:28.151791,22.44,21,21.74,100852,100894.1,42.674
2019-05-21 15:51:29.556816,22.44,21.0625,21.74,100852,100894,42.354
2019-05-21 15:51:30.957485,22.44,21,21.74,100850,100893.4,42.022
2019-05-21 15:51:32.400030,22.43,21.0625,21.74,100850,100892.9,41.667
2019-05-21 15:51:33.766922,22.43,21,21.74,100846,100892.7,41.337
2019-05-21 15:51:35.171840,22.43,21.0625,21.74,100846,100892.7,41.031
2019-05-21 15:51:36.580860,22.43,21.0625,21.73,100846,100891.8,40.792
2019-05-21 15:51:37.985859,22.43,21.0625,21.73,100846,100891.1,40.57
2019-05-21 15:51:39.389827,22.43,21,21.73,100846,100891.1,40.363
2019-05-21 15:51:40.787427,22.43,21,21.73,100846,100891.9,40.177
2019-05-21 15:51:42.188106,22.43,21,21.72,100848,100892.1,40.022
2019-05-21 15:51:43.592887,22.42,21,21.72,100848,100892.6,39.879
2019-05-21 15:51:44.997744,22.42,21.0625,21.72,100848,100893.4,39.738
2019-05-21 15:51:46.398318,22.42,21,21.72,100848,100893.6,39.636
2019-05-21 15:51:47.807474,22.42,21.0625,21.72,100850,100894.2,39.518
2019-05-21 15:51:49.208333,22.42,21,21.71,100850,100894.3,39.424
2019-05-21 15:51:50.609000,22.42,21,21.71,100850,100894,39.339
2019-05-21 15:51:52.005747,22.42,21,21.71,100848,100894,39.27
2019-05-21 15:51:53.406216,22.42,21,21.71,100848,100893.6,39.228
2019-05-21 15:51:54.811315,22.42,21.0625,21.7,100850,100894,39.168
2019-05-21 15:51:56.212123,22.41,21,21.7,100850,100894.6,39.145
2019-05-21 15:51:57.612856,22.41,21,21.7,100850,100894.3,39.114
2019-05-21 15:51:59.013461,22.41,21,21.7,100846,100893.7,39.085
2019-05-21 15:52:00.409981,22.41,21,21.7,100846,100893.4,39.05
2019-05-21 15:52:01.815215,22.41,20.9375,21.69,100848,100894,39.014
2019-05-21 15:52:03.224097,22.41,20.9375,21.69,100850,100894.5,38.974
2019-05-21 15:52:04.624910,22.41,21,21.69,100850,100894.2,38.943
2019-05-21 15:52:06.025756,22.41,21,21.69,100848,100893.5,38.908
2019-05-21 15:52:07.426082,22.41,21,21.69,100846,100893,38.884
2019-05-21 15:52:08.827125,22.4,21,21.68,100846,100892.5,38.851
2019-05-21 15:52:10.227917,22.4,21,21.68,100846,100892.1,38.828
2019-05-21 15:52:11.628324,22.4,21,21.68,100846,100891.6,38.803
2019-05-21 15:52:13.029193,22.4,21,21.68,100844,100890.5,38.791
2019-05-21 15:52:14.429842,22.4,21,21.68,100844,100890.5,38.769
2019-05-21 15:52:15.835047,22.4,20.9375,21.67,100846,100890.6,38.757
2019-05-21 15:52:17.235606,22.4,21,21.67,100848,100891.5,38.745
2019-05-21 15:52:18.632432,22.4,21,21.67,100848,100892,38.738
2019-05-21 15:52:20.037320,22.4,20.9375,21.67,100848,100891.6,38.738
2019-05-21 15:52:21.437768,22.4,21,21.67,100848,100891.2,38.732
2019-05-21 15:52:22.838912,22.4,21,21.67,100850,100891.4,38.726
